Provider name,AvgNo0_ Salary_Midpoint,Sum_Graduate_Count
St Mellitus College,28500,20
University of St Mark and St John,28500,960
South Gloucestershire and Stroud College,28500,40
Riverside College Halton,28500,80
Stranmillis University College,28500,440
Royal Agricultural University,28500,540
Guildhall School of Music and Drama,28500,160
Futureworks,28500,120
"St Mary's University College",28500,300
Myerscough College,28500,80
Liverpool Hope University,28500,1780
ACM Guildford Limited,28500,160
Courtauld Institute of Art,28500,80
DN Colleges Group,28100,460
London School of Management Education,28071.4285714286,140
NCG,27700,510
Sparsholt College,27500,120
Bradford College,27136.3636363636,260
South Essex College of Further and Higher Education,27000,160
University for the Creative Arts,27000,810
The Liverpool Institute for Performing Arts,27000,160
TEC Partnership,27000,120
Point Blank Music School,27000,80
West Suffolk College,27000,80
Cornwall College,27000,80
Reaseheath College,27000,80
Glasgow School of Art,27000,280
The Oldham College,26500,60
Solihull College and University Centre,26500,60
Heart of Yorkshire Education Group,25500,120
South Devon College,25500,40
DCG,25500,40
Leeds Conservatoire,25500,320
Activate Learning,25500,20
Leeds Arts University,25500,520
Lincoln College,25500,40
Barnsley College,25500,40
The Royal Central School of Speech and Drama,25500,140
North East Surrey College of Technology (NESCOT),25500,40
Middlesbrough College,25500,80
RNN Group,25500,40
University Centre Peterborough,25500,160
Boston College,25500,40
Backstage Academy (Training) Ltd,25500,40
Blackburn College,25500,160
Exeter College,25500,40
Leeds City College,25500,40
Bishop Burton College,25500,40
Gr?p Llandrillo Menai,25500,40
City and Guilds of London Art School,25500,40
Arts University Plymouth,24750,240
Loughborough College,24750,160
Burnley College,24000,80
The Northern School of Art,23500,60
Askham Bryan College,22500,40
Nottingham College,22500,40
LTE Group,22500,140
Chichester College Group,22500,80
Royal Academy of Dance,19500,40
Royal Northern College of Music,19500,40
Trinity Laban Conservatoire of Music and Dance,19500,40
